date,avoid_ambulance_mobilized_on_road
6:20:30,0.7773
6:20:40,0.7764
6:20:50,0.7756
6:21:00,0.7747
6:21:10,0.7738
6:21:20,0.773
6:21:30,0.7721
6:21:40,0.7713
6:21:50,0.7705
6:22:00,0.7696
6:22:10,0.7699
6:22:20,0.7702
6:22:30,0.7705
6:22:40,0.7708
6:22:50,0.7711
6:23:00,0.7714
6:23:10,0.7717
6:23:20,0.772
6:23:30,0.7723
6:23:40,0.7726
6:23:50,0.7729
6:24:00,0.7731
6:24:10,0.7734
6:24:20,0.7737
6:24:30,0.774
6:24:40,0.7743
6:24:50,0.7746
6:25:00,0.7749
6:25:10,0.7751
6:25:20,0.7754
6:25:30,0.7757
6:25:40,0.776
6:25:50,0.7763
6:26:00,0.7765
6:26:10,0.7768
6:26:20,0.7771
6:26:30,0.7774
6:26:40,0.7777
6:26:50,0.7779
6:27:00,0.7782
6:27:10,0.7785
6:27:20,0.7788
6:27:30,0.779
6:27:40,0.7793
6:27:50,0.7796
6:28:00,0.7798
6:28:10,0.7801
6:28:20,0.7804
6:28:30,0.7807
6:28:40,0.7809
6:28:50,0.7812
6:29:00,0.7815
6:29:10,0.7817
6:29:20,0.782
6:29:30,0.7823
6:29:40,0.7825
6:29:50,0.7817
6:30:00,0.7809
6:30:10,0.7801
6:30:20,0.7794
6:30:30,0.7796
6:30:40,0.7799
6:30:50,0.7802
6:31:00,0.7804
6:31:10,0.7807
6:31:20,0.781
6:31:30,0.7812
6:31:40,0.7815
6:31:50,0.7817
6:32:00,0.782
6:32:10,0.7823
6:32:20,0.7825
6:32:30,0.7828
6:32:40,0.783
6:32:50,0.7833
6:33:00,0.7835
6:33:10,0.7838
6:33:20,0.7841
6:33:30,0.7843
6:33:40,0.7846
6:33:50,0.7848
6:34:00,0.7851
6:34:10,0.7853
6:34:20,0.7855
6:34:30,0.7858
6:34:40,0.786
6:34:50,0.7852
6:35:00,0.7843
6:35:10,0.7835
6:35:20,0.7827
6:35:30,0.7819
6:35:40,0.7811
6:35:50,0.7803
6:36:00,0.7795
